"","GovUnit","County (1) or Municipality (2)","Population","RecyclingEnforcePersonnel","TipFee","PAYT/SMART","PropertyTax","PerHouseCharge","HHServedTrash","HHServedRecycling","HHServedYard","RecyclingServiceType","TrashServiceType","FoodServiceType","YardWasteServiceType","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","State","PopulationDensity","Households","MedIncome","AvgIncome","PctLessHS","PctHS","PctBachelororMore","Gini"
"255","KITTRELL","2","132","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",635.146554701663,46,73000,77330,4,75.3,20.8,0.4083
"256","KITTY HAWK","2","3698","No","No","No","Yes","No","3233","3233","3233","Both","Curbside","None","Curbside","Yes",NA,"No",6862.34,289.1,NA,NA,47,"NC",456.033084640272,1572,74797,98795,3.4,52.9,43.6,0.4335
"257","KNIGHTDALE","2","19656","No","No","No","No","Yes","6036","6036","6036","Curbside","Curbside","None","Curbside","No",NA,"No",5399,1263,NA,NA,2492,"NC",2473.67384193329,6522,69529,88866,7.2,49.9,43,0.3934
"258","KURE BEACH","2","2191","No","No","Yes","Yes","Yes",NA,"2251",NA,"Curbside","Curbside","None","Curbside","No",NA,"No",1906.64,444.34,301.4,0,2.10000000000002,"NC",2490.59943815214,1005,88393,129593,2.9,50.5,46.7,0.4688
"259","LA GRANGE","2","2591","No","No","No","No","Yes","1450","1250","1250","Curbside","Curbside","None","Curbside","Yes",NA,"No",1443.45,53.08,0,432.36,0,"NC",1124.83243466552,1120,63409,74962,19.6,61.4,19,0.4292
"260","LAKE LURE","2","1362","No","No","No","Yes","No","1200","163",NA,"Curbside","Curbside","None","None","No",NA,"No",63.25,NA,NA,NA,NA,"NC",103.437645256627,858,60882,96345,1.7,46.2,52,0.5111
"261","LAKE PARK","2","3282","Yes","No","No","Yes","No","1248","1248","947","Curbside","Curbside","None","Curbside","Yes",NA,"No",1183.23,210.41,168.26,0,0,"NC",4465.90261360648,NA,NA,NA,NA,NA,NA,NA
"262","LAKE SANTEETLAH","2","38","No","No","No","Yes","No",NA,"196",NA,"Dropoff","Drop-off","None","None","No",NA,"No",NA,6.42,NA,NA,NA,"NC",195.599776200792,22,66500,63359,0,52.5,47.5,0.2746
"263","LAKE WACCAMAW","2","1287","No","No","No","No","Yes","898","898","898","Curbside","Curbside","None","Curbside","Yes",NA,"No",642,94.54,535,0,0,"NC",462.910804684123,653,53073,72949,16.2,53.9,29.9,0.4872
"264","LANDIS","2","3700","No","No","No","No","No","1505",NA,NA,"None","Curbside","None","Curbside","No",NA,"No",NA,NA,NA,NA,200,"NC",1091.42475468285,998,65769,68244,7.8,75,17.1,0.37
"265","LANSING","2","126","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",341.352552570041,106,40313,44335,30,66.9,3.2,0.3654
"266","LASKER","2","63","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",56.3270827770273,65,NA,63026,9.5,79.1,11.5,0.3971
"267","LATTIMORE","2","407","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",396.998221588377,133,54792,58614,8.4,77.7,13.9,0.3568
"268","LAUREL PARK","2","2254","No","No","No","No","No","1269","1269","1269","Curbside","Curbside","None","Curbside","No",NA,"No",631.99,138.05,NA,NA,105,"NC",804.706579114469,1142,73916,94244,3.3,40,56.7,0.4431
"269","LAURINBURG","2","14916","No","No","Yes","No","Yes","5726","5726","5340","Both","Curbside","None","Curbside","Yes",NA,"No",12693,428,3889,1978,0,"NC",1188.8052020655,5849,29787,53025,15.9,64.4,19.8,0.5546
"270","LAWNDALE","2","572","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",709.17443665524,258,31071,54733,26.5,62.6,10.8,0.5411
"271","LEGGETT","2","37","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",52.958172125681,20,40417,88065,20.5,79.4,0,0.6394
"272","LELAND","2","23049","Yes","No","No","Yes","No","10744","10744",NA,"Curbside","Curbside","None","None","No",NA,"No",NA,1170,NA,NA,NA,"NC",1155.89199004399,9125,73125,84671,4.9,57.7,37.4,0.3639
"273","LENOIR","2","18324","No","No","No","Yes","Yes","8800","8800","8800","Dropoff","Curbside","None","Curbside","Yes",NA,"No",6814.36,102.74,NA,NA,500,"NC",879.900297493713,7253,39116,53511,16.2,66.1,17.7,0.4481
"274","LEWISTON WOODVILLE","2","424","No","No","No","Yes","No","230",NA,NA,"None","Curbside","None","None","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",216.777463293127,182,36613,77781,26.9,58,15.1,0.5584
"275","LEWISVILLE","2","13406","No","No","No","No","No","5009","5009",NA,"Both","Curbside","None","None","Yes",NA,"No",NA,794.39,NA,NA,NA,"NC",927.560476880748,5086,81275,104450,4.1,52.4,43.5,0.474
"276","LEXINGTON","2","19660","No","No","No","Yes","Yes","8711","8711","8711","Curbside","Curbside","None","Curbside","Yes",NA,"No",8726.24,1045.38,1607.83,0,0,"NC",1093.53876697057,7654,30366,42126,21.7,64.1,14.2,0.4344
"277","LIBERTY","2","2658","No","No","No","Yes","Yes","1085",NA,NA,"None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",848.187301487515,1069,43018,54245,24.8,62.4,12.8,0.4486
"278","LILESVILLE","2","395","Yes","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",397.706429290306,284,33077,44836,4.9,73.2,22,0.4181
"279","LILLINGTON","2","4744","No","No","No","No","Yes","1361","1361","1658","Curbside","Curbside","None","Curbside","Yes",NA,"No",1990,370,0,427.81,0.189999999999998,"NC",1028.14992272817,911,47277,55534,20.3,65.5,14.2,0.4039
"280","LINCOLNTON","2","11134","Yes","No","No","Yes","No","4000","1317",NA,"Curbside","Curbside","None",NA,"Yes",NA,"No",5140.34,74.36,NA,NA,NA,"NC",1283.49510789296,4857,35696,49115,17.7,65.2,17.2,0.4607
"281","LINDEN","2","136","No","No","No","Yes","Yes","60","60",NA,"Curbside","Curbside","None","None","No",NA,"No",59.46,31.22,NA,NA,NA,"NC",269.029044639138,46,50000,63907,19.4,70.9,9.7,0.4261
"282","LITTLETON","2","556","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",584.590941700097,272,21900,42275,25.4,53.3,21.3,0.5617
"283","LOCUST","2","4545","No","No","No","Yes","Yes","1700","1700",NA,"Curbside","Curbside","None","Curbside","Yes",NA,"No",1628.57,298.99,32,0,NA,"NC",560.455752181179,1479,55684,68528,14.5,62.3,23.2,0.3649
"284","LONG VIEW","2","5095","Yes","No","No","Yes","Yes","1914","1914","1914","Curbside","Curbside","None","Curbside","Yes",NA,"No",2432,308,0,815,0,"NC",1266.16913695656,2066,39174,50494,16.2,75.1,8.6,0.3863
"285","LOUISBURG","2","3076","No","No","No","No","Yes","1095",NA,"1095","None","Curbside","None","Curbside","No",NA,"No",1043.08,NA,143.67,0,0,"NC",1040.07167589,1070,NA,56279,13.3,65.1,21.6,0.5182
"286","LOVE VALLEY","2","155","No","No","No","Yes","No","40",NA,NA,"None",NA,"None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",147.334536297421,66,21667,32583,18.5,81.5,0,0.4025
"287","LOWELL","2","3665","No","No","Yes","Yes","Yes","1642","1642","1642","Dropoff","Curbside","None","Curbside","Yes",NA,"No",1716.78,65.3,NA,NA,NA,"NC",1348.3523876302,1466,42902,59026,18,69.2,12.7,0.4243
"288","LUCAMA","2","1034","No","No","No","Yes","Yes","447","447","447","Curbside","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,NA,"NC",1700.91040023411,344,36667,45960,36.9,54.1,9.1,0.4036
"289","LUMBER BRIDGE","2","82","No","No","No","No","No",NA,NA,NA,"None","None","None","None","No",NA,"No",NA,NA,NA,NA,NA,"NC",122.363452490809,37,48750,48065,3.8,90.6,5.7,0.3618
"290","LUMBERTON","2","18922","No","No","No","Yes","Yes","7500",NA,"7500","None","Curbside","None","Curbside","Yes",NA,"No",NA,NA,NA,NA,600,"NC",1066.95477339456,7270,36846,54775,20.3,58,21.6,0.5116
"291","MACCLESFIELD","2","412","No","No","No","No","No","218",NA,"218","None","Curbside","None",NA,"No",NA,"No",NA,NA,NA,NA,NA,"NC",796.117949550117,152,32353,58849,29.4,56.7,13.8,0.499
"292","MACON","2","110","No","No","No","Yes","No","56",NA,NA,"None","Curbside","None","None","No",NA,"No",85,NA,NA,NA,NA,"NC",233.602981451067,33,56875,54424,5.5,63.7,30.9,0.308
"293","MADISON","2","2130","No","Yes","Yes","Yes","Yes","970","850","850","Curbside","Curbside","None","Curbside","Yes",NA,"No",777.93,134.79,NA,NA,1287.52,"NC",601.749974550812,997,43884,50072,12.3,68.4,19.3,0.3985
"294","MAGGIE VALLEY","2","1736","No","No","No","No","Yes","1121","1121","1470","Curbside","Curbside","None","Curbside","Yes",NA,"No",592,157,243,0,0,"NC",522.250170423521,836,52836,61953,4.4,57.3,38.3,0.3661
