"","State","GovUnit","Type","SolidWasteTons","RecyclingTons","DivertedYardWaste","DisposedYardWaste","UncatYardWaste","FoodWaste","Households","HHServedTrash","HHServedRecycling","HHServedYard","TrashServiceType","RecyclingServiceType","YardWasteServiceType","FoodService","ProvideTrashCart","ProvRecycleBinorCart","ProvideCompostBins","EnforceRecycling","RecyclingEnforcePersonnel","Private Hauler regulations that require recycling","SwapShop","PropertyTax","AnnualFee","TransferStationAccessFee","Per-VisitFee","PAYT/SMART","TipFee","CurbsideFee","DropoffFee","PerHouseCharge","Population","PopulationDensity","MedIncome","AvgIncome","Gini","PctLessHS","PctHS","PctBachelororMore"
"805","NC","SPINDALE","Municipality",1378.55,159.14,NA,NA,80,NA,1746,1503,1503,1503,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,4215,778.640833860271,30755,44274,0.4158,19.1,61.6,19.4
"806","NC","SPRING HOPE","Municipality",526.35,48.31,NA,NA,NA,NA,621,657,657,NA,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,1,1310,865.93135058832,33482,46475,0.438,23.2,61.8,15
"807","NC","SPRING LAKE","Municipality",1978.55,204.63,725.22,0,-78.78,NA,4423,3536,3536,3536,-1,-1,-1,0,1,NA,0,NA,1,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,11662,493.40283206406,39898,52291,0.4526,7.2,65.4,27.4
"808","NC","SPRUCE PINE","Municipality",604.41,NA,NA,NA,280.8,NA,952,953,0,953,-1,NA,-1,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,2194,468.601203079915,45435,70831,0.5663,17.6,63.8,18.7
"809","NC","STALEY","Municipality",NA,NA,NA,NA,NA,NA,137,NA,0,0,-1,NA,NA,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,398,343.332025895205,50083,50812,0.3307,10.7,83.1,6.3
"810","NC","STALLINGS","Municipality",NA,NA,330.1,0,NA,NA,5511,NA,NA,NA,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,16180,1936.51496522716,90012,108727,0.3755,6.4,46.7,47
"811","NC","STANFIELD","Municipality",966.92,176.44,NA,NA,NA,NA,567,610,610,0,-1,-1,NA,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,1586,354.799511101435,80795,89894,0.4186,7.7,70.3,22
"812","NC","STANLEY","Municipality",1001.29,190.73,NA,NA,0,NA,1348,1983,1983,0,-1,-1,NA,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,3974,1474.19731789006,61786,71126,0.3583,9.2,71.8,19.1
"813","NC","STANTONSBURG","Municipality",569.93,104.36,200,115,0,NA,237,466,428,466,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,761,1294.73714935558,51458,69349,0.4915,20.2,61.2,18.6
"814","NC","STAR","Municipality",NA,NA,NA,NA,NA,NA,383,331,0,331,-1,NA,-1,0,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,805,622.936684756199,32258,49666,0.3937,29,53.4,17.7
"815","NC","STATESVILLE","Municipality",10500.01,970,3526.72,0,0,NA,10963,14850,12320,14850,-1,-1,-1,0,1,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,1,NA,NA,1,28567,1148.98931575213,42004,59331,0.4549,13.2,59.8,27.1
"816","NC","STEDMAN","Municipality",580.75,NA,NA,NA,0,NA,600,590,0,0,-1,NA,NA,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,1277,756.621798967696,83068,94700,0.3511,2.3,63.8,33.9
"817","NC","STEM","Municipality",NA,NA,NA,NA,NA,NA,466,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,961,635.982176503131,73750,100380,0.4367,9.7,61.8,28.4
"818","NC","STOKESDALE","Municipality",NA,NA,NA,NA,NA,NA,1790,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,0,5935,312.07605432965,90943,115427,0.4134,4.1,63,32.8
"819","NC","STONEVILLE","Municipality",NA,90.35,NA,NA,124.8,NA,491,545,545,545,-1,-1,-1,0,0,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,1309,915.346801635574,46250,59637,0.4204,18.5,71.8,9.7
"820","NC","STONEWALL","Municipality",NA,NA,NA,NA,NA,NA,143,319,0,0,-1,NA,NA,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,214,125.397075352889,NA,61129,0.5709,5,92.9,2
"821","NC","STOVALL","Municipality",189.07,NA,NA,NA,NA,NA,122,207,0,0,-1,NA,NA,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,1,324,309.573122298546,42222,53295,0.3677,18.9,66.8,14.3
"822","NC","SUGAR MOUNTAIN","Municipality",865.99,NA,40,0,0,NA,NA,1500,0,1500,0,NA,-1,0,0,NA,0,NA,0,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,369,150.073884329737,NA,NA,NA,NA,NA,NA
"823","NC","SUMMERFIELD","Municipality",NA,NA,NA,NA,NA,NA,3925,NA,NA,0,-1,-1,NA,0,1,NA,0,NA,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,1,10971,415.681641930212,109577,145966,0.4643,3.8,40.4,55.7
