Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10008_001,SE_A10008_002,SE_A10008_003,SE_A10008_004,SE_A10008_005,SE_A10008_006,SE_A10008_007,SE_A10008_008,SE_A10008_009,SE_B12001_001,SE_B12001_002,SE_B12001_003,SE_B12001_004,SE_A14006_001,SE_A14008_001,SE_A14028_001
"12086","Miami-Dade County, Florida","ACSSF","fl","050","00","0000055",,,,,"12","086",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County",,,,2705528,2705528,1424.034,1899.90420341716,902200,619475,393959,225516,64687,160829,282725,133292,149433,1925941,349764,985872,590305,53975,82378.8974728442,0.5185
"12087","Monroe County, Florida","ACSSF","fl","050","00","0000056",,,,,"12","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12087","Monroe County",,,,75137,75137,76.43314,983.042182434822,32794,19513,15693,3820,1426,2394,13281,7553,5728,58963,4779,33388,20796,72012,105567.896566445,0.4946
"12089","Nassau County, Florida","ACSSF","fl","050","00","0000057",,,,,"12","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12089","Nassau County",,,,85762,85762,132.2099,648.680812420753,33475,24357,19107,5250,1838,3412,9118,4405,4713,63530,5624,38544,19362,72998,94763.0201643017,0.4367
"12091","Okaloosa County, Florida","ACSSF","fl","050","00","0000058",,,,,"12","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County",,,,207430,207430,222.9964,930.194444144143,79235,51719,40734,10985,3408,7577,27516,13963,13553,142590,10611,86101,45878,64373,85982.5935508298,0.4414
"12093","Okeechobee County, Florida","ACSSF","fl","050","00","0000059",,,,,"12","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12093","Okeechobee County",,,,41611,41611,54.09898,769.164261764919,14601,9837,7292,2545,678,1867,4764,2531,2233,29483,5969,19292,4222,46097,63076.9604821588,0.457
"12095","Orange County, Florida","ACSSF","fl","050","00","0000060",,,,,"12","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12095","Orange County",,,,1373784,1373784,1523.002,902.023638719562,468075,309344,215581,93763,26669,67094,158731,77216,81515,926073,104875,493230,327968,61416,86928.5934946323,0.4776
"12097","Osceola County, Florida","ACSSF","fl","050","00","0000061",,,,,"12","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12097","Osceola County",,,,363666,363666,273.9385,1327.54624036868,109642,81168,55018,26150,7628,18522,28474,13306,15168,240760,33380,151528,55852,55538,70836.9931230733,0.4298
"12099","Palm Beach County, Florida","ACSSF","fl","050","00","0000062",,,,,"12","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County",,,,1482057,1482057,754.4968,1964.29868246494,565598,351887,259947,91940,26210,65730,213711,89671,124040,1088087,122138,562130,403819,65015,101670.311422601,0.5212
"12101","Pasco County, Florida","ACSSF","fl","050","00","0000063",,,,,"12","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12101","Pasco County",,,,539885,539885,723.1068,746.618662325849,209483,139278,104993,34285,9098,25187,70205,33047,37158,392420,39644,256111,96665,53431,72960.7882262522,0.4516
"12103","Pinellas County, Florida","ACSSF","fl","050","00","0000064",,,,,"12","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County",,,,970985,970985,3547.559,273.705101336377,413239,232884,173423,59461,16560,42901,180355,77565,102790,750170,62856,443584,243730,56419,81769.390594789,0.4835
"12105","Polk County, Florida","ACSSF","fl","050","00","0000065",,,,,"12","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12105","Polk County",,,,705735,705735,392.5627,1797.76368384718,240879,165183,119347,45836,13576,32260,75696,36273,39423,490414,71423,318026,100965,51535,69534.6381378202,0.4513
"12107","Putnam County, Florida","ACSSF","fl","050","00","0000066",,,,,"12","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12107","Putnam County",,,,73784,73784,101.3011,728.36360322905,29822,18179,12503,5676,1484,4192,11643,5902,5741,52815,9195,36461,7159,40068,53720.6122996446,0.4619
"12109","St. Johns County, Florida","ACSSF","fl","050","00","0000067",,,,,"12","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County",,,,255410,255410,425.2267,600.644364375433,91253,67548,56661,10887,2843,8044,23705,9676,14029,181632,9483,91364,80785,83803,116070.8338356,0.4591
"12111","St. Lucie County, Florida","ACSSF","fl","050","00","0000068",,,,,"12","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County",,,,320914,320914,561.3717,571.660433947957,118527,81648,61099,20549,5666,14883,36879,17570,19309,234071,29814,151660,52597,55237,72090.176921714,0.4411
"12113","Santa Rosa County, Florida","ACSSF","fl","050","00","0000069",,,,,"12","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County",,,,179587,179587,177.3872,1012.40097174195,65697,47876,37828,10048,2825,7223,17821,9295,8526,126041,10719,80961,34361,70663,86520.1318172824,0.4169
