"","Municipality","Households","Households w/ Trash and Recycling","% of Households Served by Municipality","Trash Tonnage","Recycling Tonnage","Food Waste","Yard Waste","E-Waste","C&D","Trash Service Type","Provide Trash Bins","Recycling Service Type","Recycling Collection Frequency","RecyclingBins","Food Waste Service Type","Municipal Buildings Trash and Recycling Service","School Trash and Recycling Service","Business Trash and Recycling Service","Non-resident Trash and Recycling Service","Property Tax","Annual Fee","Transfer Station Access Fee","Per-Visit Fee","PAYT/SMART","Enforced Mandatory Recycling","Dedicated Mandatory Recycling Enforcement Personnel","Compost Bin Distribution Program","diversion"
"85","Dunstable","1124",313,0.27846975088968,163.66,117.63,NA,NA,NA,NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Neither","Neither","Neither","Yes","Yes",NA,NA,"No",NA,NA,NA,0.418180525436382
"86","Duxbury","6632",5998,0.904402895054282,2707,1947.96,NA,"3000","24.43","1058","Drop-off",NA,"Drop-off",NA,"No","None","Both","Neither","Both","Neither","Yes","Yes",NA,NA,"Yes","Yes","No",NA,0.418469761286885
"87","East Bridgewater","4300",2800,0.651162790697674,3024,1654.9,NA,"307.8","53",NA,"Both","Yes","Both","Bi-weekly","Yes","None","Both","Both","Neither","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,"Yes",0.353694244373678
"88","East Brookfield","974",940,0.965092402464066,645.68,106.22,NA,NA,NA,NA,"Curbside",NA,"Curbside","Bi-weekly","No","None","Both","Both","Both","Neither",NA,"Yes",NA,NA,"Yes",NA,NA,NA,0.141268785742785
"89","East Longmeadow","5680",5680,1,4471.35,234289.74,NA,"4644.49","20.23",NA,"Curbside","Yes","Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"Yes","Yes","Yes","Yes",0.981272702348611
"90","Eastham","5676",3776,0.665257223396758,4164.18,1031.93,NA,"391.74","20.329999999999998","568","Drop-off",NA,"Drop-off",NA,"No","None","Both","Both","Both","Both","Yes","Yes",NA,"Yes","No",NA,NA,"Yes",0.198596642488323
"93","Edgartown","3508",1754,0.5,955,1036,"6","200","14",NA,"Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Both","Neither","Both",NA,NA,NA,NA,"Yes",NA,NA,NA,0.520341536916123
"94","Egremont","875",875,1,511,346.09,"0.5","0.18","0.25","65","Drop-off",NA,"Drop-off",NA,"No","Drop-off","Both","Neither","Both","Neither","Yes",NA,NA,NA,"No","Yes","No","Yes",0.403796567454993
"95","Erving","586",586,1,446.71,111.52,NA,NA,"1.46",NA,"Curbside",NA,"Curbside","Weekly","No","None","Both","Both","Neither","Neither","Yes",NA,NA,NA,"No","Yes",NA,"Yes",0.199774286584383
"97","Everett","15591",15000,0.962093515489706,16492.1,3003.79,NA,NA,NA,NA,"Curbside","Yes","Curbside","Weekly","Yes","None","Both","Both","Both","Neither","Yes",NA,NA,NA,"No","Yes","Yes",NA,0.154072986665395
