"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.4322","0.0344","1600000US3716400","Davidson town, North Carolina"
"0.4472","0.0919","1600000US3716480","Davis CDP, North Carolina"
"0.2265","0.0793","1600000US3716720","Deep Run CDP, North Carolina"
"0.3031","0.0797","1600000US3716730","Deercroft CDP, North Carolina"
"0.2924","0.1212","1600000US3716780","Delco CDP, North Carolina"
"-","**","1600000US3716820","Dellview town, North Carolina"
"-","**","1600000US3716860","Delway CDP, North Carolina"
"0.4204","0.0308","1600000US3716980","Denton town, North Carolina"
"0.4958","0.0673","1600000US3717000","Denver CDP, North Carolina"
"0.4222","0.0852","1600000US3717180","Dillsboro town, North Carolina"
"0.4986","0.0754","1600000US3717325","Dobbins Heights town, North Carolina"
"0.4934","0.1206","1600000US3717340","Dobson town, North Carolina"
"0.4407","0.0732","1600000US3717520","Dortches town, North Carolina"
"0.3672","0.0588","1600000US3717660","Dover town, North Carolina"
"0.3671","0.0468","1600000US3717860","Drexel town, North Carolina"
"0.4414","0.0797","1600000US3718040","Dublin town, North Carolina"
"0.4688","0.0891","1600000US3718060","Duck town, North Carolina"
"0.4589","0.0990","1600000US3718080","Dudley CDP, North Carolina"
"0.1385","0.1852","1600000US3718300","Dundarrach CDP, North Carolina"
"0.4655","0.0222","1600000US3718320","Dunn city, North Carolina"
"0.4602","0.0114","1600000US3719000","Durham city, North Carolina"
"0.3426","0.0983","1600000US3719140","Earl town, North Carolina"
"0.3995","0.0903","1600000US3719300","East Arcadia town, North Carolina"
"0.3309","0.0470","1600000US3719320","East Bend town, North Carolina"
"0.3498","0.0463","1600000US3719420","East Flat Rock CDP, North Carolina"
"0.5064","0.0613","1600000US3719620","East Laurinburg town, North Carolina"
"0.4127","0.0491","1600000US3719740","Eastover town, North Carolina"
"0.4214","0.0642","1600000US3719800","East Rockingham CDP, North Carolina"
"0.4594","0.0689","1600000US3719860","East Spencer town, North Carolina"
"0.4411","0.0353","1600000US3720080","Eden city, North Carolina"
"0.5400","0.0621","1600000US3720120","Edenton town, North Carolina"
"0.4046","0.0760","1600000US3720280","Edneyville CDP, North Carolina"
"0.2710","0.0807","1600000US3720420","Efland CDP, North Carolina"
"0.4562","0.0358","1600000US3720580","Elizabeth City city, North Carolina"
"0.5183","0.0611","1600000US3720600","Elizabethtown town, North Carolina"
"0.5292","0.0529","1600000US3720620","Elkin town, North Carolina"
"0.4084","0.0918","1600000US3720700","Elk Park town, North Carolina"
"0.3841","0.0612","1600000US3720780","Ellenboro town, North Carolina"
"0.4588","0.0537","1600000US3720840","Ellerbe town, North Carolina"
"0.4099","0.0448","1600000US3720980","Elm City town, North Carolina"
"0.4294","0.0357","1600000US3721095","Elon town, North Carolina"
"0.4577","0.0879","1600000US3721120","Elrod CDP, North Carolina"
"0.3989","0.0478","1600000US3721130","Elroy CDP, North Carolina"
"0.4317","0.0496","1600000US3721160","Emerald Isle town, North Carolina"
"0.7188","0.1248","1600000US3721260","Emma CDP, North Carolina"
"0.4839","0.0525","1600000US3721360","Enfield town, North Carolina"
"0.1911","0.0985","1600000US3721380","Engelhard CDP, North Carolina"
"0.4073","0.0760","1600000US3721500","Enochville CDP, North Carolina"
"0.4329","0.0364","1600000US3721740","Erwin town, North Carolina"
"0.3841","0.0488","1600000US3721880","Etowah CDP, North Carolina"
"0.3348","0.0714","1600000US3721960","Eureka town, North Carolina"
"0.4689","0.1061","1600000US3722040","Everetts town, North Carolina"
"0.3894","0.2258","1600000US3722080","Evergreen CDP, North Carolina"
"0.5065","0.0667","1600000US3722240","Fair Bluff town, North Carolina"
"0.2996","0.1365","1600000US3722280","Fairfield CDP, North Carolina"
"0.3684","0.0503","1600000US3722305","Fairfield Harbour CDP, North Carolina"
"0.4776","0.0377","1600000US3722360","Fairmont town, North Carolina"
"0.4002","0.0574","1600000US3722380","Fairplains CDP, North Carolina"
"0.5470","0.1271","1600000US3722440","Fairview CDP, North Carolina"
"0.4945","0.0616","1600000US3722500","Fairview town, North Carolina"
"0.4172","0.0536","1600000US3722560","Faison town, North Carolina"
"0.2926","0.0876","1600000US3722600","Faith town, North Carolina"
"0.3723","0.1329","1600000US3722620","Falcon town, North Carolina"
"0.1510","0.2043","1600000US3722640","Falkland town, North Carolina"
"0.6009","0.1161","1600000US3722720","Fallston town, North Carolina"
"0.2465","0.1236","1600000US3722800","Farmington CDP, North Carolina"
"0.4524","0.0587","1600000US3722820","Farmville town, North Carolina"
"0.4503","0.0098","1600000US3722920","Fayetteville city, North Carolina"
"0.4313","0.0694","1600000US3722982","Fearrington Village CDP, North Carolina"
"0.4752","0.0802","1600000US3723520","Five Points CDP, North Carolina"
"0.3940","0.0390","1600000US3723600","Flat Rock village, North Carolina"
"0.4158","0.0719","1600000US3723640","Flat Rock CDP, North Carolina"
"0.3202","0.0313","1600000US3723760","Fletcher town, North Carolina"
"0.2888","0.1866","1600000US3723980","Fontana Dam town, North Carolina"
"0.4600","0.0382","1600000US3724080","Forest City town, North Carolina"
"0.3421","0.1511","1600000US3724170","Forest Hills village, North Carolina"
